,Foot,Hand,Nose,Skin
ERR503086,0.31906354,0.054273754,0.6339189,0.011639357
ERR504213,0.7256222,0.1809003,0.0043343604,0.1453293
ERR503679,0.57108337,0.13994625,0.20490545,0.047231317
ERR504565,0.47948253,0.31095958,0.06847295,0.08932364
ERR504490,0.037966877,0.11766049,0.8248396,0.007534176
ERR504337,0.032544047,0.59917986,0.38060695,0.017364562
ERR503264,0.08067557,0.09628683,0.7436218,0.01613915
ERR504178,0.8001219,0.07475272,0.002621889,0.32799911
ERR503960,0.74783015,0.21551517,0.00059339404,0.08344135
ERR503939,0.4522188,0.16115403,0.27158523,0.040079206
ERR504540,0.12355155,0.04561001,0.81712425,0.012062818
ERR504418,0.022559315,0.011813462,0.98277676,0.0007107854
ERR503365,0.11254117,0.8315321,0.00070124865,0.092223346
ERR503187,0.28877518,0.3546797,0.19938767,0.018320322
ERR503994,0.6185376,0.21001306,0.06379005,0.0891262
ERR503945,0.9127439,0.052729696,0.009259194,0.1263997
ERR503537,0.8192778,0.09079376,0.001085043,0.20579553
ERR503156,0.017681897,0.0033527613,0.98972607,0.0019030571
ERR504464,0.7378206,0.1949656,0.00052165985,0.10674149
ERR503180,0.69086945,0.10874155,0.0046967864,0.4037612
ERR503627,0.0020036697,0.0011940002,0.99966323,1.1831522e-05
ERR503246,0.24530044,0.4376789,0.06317285,0.21960452
ERR503530,0.124090254,0.5012604,0.17458093,0.13836157
ERR503942,0.36779428,0.046015024,0.61263955,0.00031891465
ERR503151,0.24083143,0.2801126,0.2943045,0.0652034
ERR504463,0.00075134635,0.00076135993,0.99983364,1.1444092e-05
ERR503075,0.54435986,0.33529103,0.014470369,0.104901046
ERR503362,0.0942629,0.19701284,0.5853744,0.022634417
ERR504535,0.0,1.0,0.0,0.0
ERR504292,0.04005459,0.052480727,0.9113498,0.0029660761
ERR503814,0.8128449,0.061920643,0.0074869394,0.4102248
ERR503655,0.1334165,0.02831018,0.8959936,0.0009788573
ERR503593,0.6184713,0.38044652,1.7642975e-05,0.019325137
ERR503542,0.09961319,0.63180435,0.16886279,0.05460784
ERR503930,0.3522693,0.4948586,0.016837478,0.104472905
ERR503123,0.60042423,0.20773017,0.08774251,0.08203691
ERR503868,3.2782555e-05,0.0011022687,0.9999653,1.7881393e-06
ERR504411,0.2558211,0.24215293,0.3614373,0.014918447
ERR504070,0.19748688,0.15288419,0.5017053,0.035820812
ERR504367,0.05000615,0.03886038,0.9083073,0.009381682
ERR503652,0.11110681,0.119763225,0.66457564,0.020622015
ERR504238,0.0005570948,0.12482476,0.98776406,0.00040233135
ERR502988,0.057347745,0.03261456,0.912496,0.005936235
ERR504077,0.3097983,0.3488232,0.112847745,0.1649245
ERR504182,0.009656608,0.10931948,0.9252099,0.0034320056
ERR503189,0.5193159,0.1940755,0.008764863,0.43761945
ERR503000,0.21858066,0.39366344,0.21454683,0.06164986
ERR503111,0.01971224,0.03466901,0.95278037,0.003031969
ERR503206,0.23757455,0.15332001,0.46400034,0.03676942
ERR503667,0.12502009,0.6872989,0.032904506,0.21670029
ERR504355,0.4171914,0.1340155,0.3312227,0.003070861
ERR504093,0.46210313,0.49533924,0.00025886297,0.064447105
ERR503049,0.22067606,0.3195468,0.24451774,0.09387815
ERR504042,3.3825636e-05,0.00015670061,0.9999956,1.4901161e-07
ERR504384,0.5228409,0.3271696,0.009422421,0.12822211
ERR503792,0.039827824,0.021229446,0.9583217,0.0016731024
ERR504500,0.37076262,0.18146572,0.30694628,0.046952367
ERR503482,0.033554584,0.048602402,0.93844014,0.001488179
ERR504489,0.049981236,0.25777543,0.56853306,0.030666977
ERR503795,0.10437757,0.28597227,0.4436327,0.039399713
ERR504458,0.009280115,0.96015406,0.007177472,0.17508247
ERR503116,0.33304942,0.3868602,0.0040152967,0.30270946
ERR503905,0.8704943,0.071151435,0.00019177794,0.11064118
ERR504045,0.0015286505,0.2799622,0.6654795,0.00054743886
ERR503388,0.89041245,0.05808127,0.06429955,0.04381907
ERR504320,0.46980393,0.09070942,0.3818649,0.03347841
ERR503118,0.003869921,0.32259086,0.8673341,0.0057290494
ERR504113,0.103743196,0.1578086,0.64194596,0.015630782
ERR503579,0.048033983,0.029681414,0.93750787,0.002354592
ERR504572,0.6176796,0.37881058,1.3113022e-05,0.015942425
ERR503882,0.26619267,0.58228195,0.0013841689,0.15958524
ERR503357,0.55227184,0.37000182,0.028550953,0.02021712
ERR503040,0.014812291,0.0066776574,0.9875023,0.0015880764
ERR504114,0.13962486,0.355958,0.3901962,0.007317126
ERR504203,0.93169284,0.041264772,0.00036880374,0.11217806
ERR503669,0.5077648,0.24058989,0.0041789412,0.3294742
ERR503885,0.16008067,0.10421154,0.62770414,0.024597228
ERR503047,0.07674402,0.37077767,0.49600938,0.009568691
ERR503426,0.30725253,0.37277424,0.06507018,0.21540558
ERR503828,0.31390232,0.46747136,0.0019262135,0.21944967
ERR503437,0.17882594,0.32001942,0.2569828,0.11934507
ERR504440,0.43779075,0.17468217,0.26376054,0.04553339
ERR503839,0.04132375,0.031334102,0.93264025,0.0040580034
ERR504336,0.12307811,0.6350036,0.09627554,0.14449921
ERR503265,0.58895355,0.26565063,0.0050094128,0.16195816
ERR504179,0.00011238456,0.05441755,0.998147,6.455183e-05
ERR503513,0.47696346,0.32774723,0.0043956935,0.2192089
ERR503961,0.0004042685,0.0010868907,0.99984336,1.0877848e-05
ERR504496,0.3431682,0.20444527,0.28522146,0.06418571
ERR504331,1.847744e-06,1.3202429e-05,0.9999998,0.0
ERR504269,0.0,1.0,0.0,0.0
ERR503262,0.0044542253,0.23431548,0.91212165,0.0026455522
ERR503175,0.048895568,0.0950028,0.81742907,0.010164946
ERR503966,0.24623,0.20415273,0.41081238,0.018045783
ERR503514,0.117057204,0.05484435,0.8453952,0.0012205243
ERR503051,0.5427308,0.5845912,0.0028589666,0.0094869435
ERR503842,0.5032766,0.21096,0.136148,0.104843885
ERR502974,0.2631893,0.4055885,0.17693499,0.023575366
ERR504102,0.16121933,0.18554538,0.5218792,0.019904703
ERR504563,0.35663015,0.55737084,0.012264252,0.04125333
ERR503568,0.123625636,0.11153102,0.64614916,0.025723845
ERR503442,0.38829356,0.34617132,0.0035825968,0.27901447
ERR503830,0.35757747,0.2178086,0.28114268,0.030153722
ERR504449,0.28674406,0.461616,0.035318762,0.19145328
ERR504498,0.48291335,0.4952033,1.3291836e-05,0.015769005
ERR503755,0.21632797,0.54365677,0.102457196,0.08817184
ERR504170,0.4698209,0.13823625,0.30544478,0.026571095
ERR504343,0.45393205,0.4052256,0.0008960664,0.14243999
ERR503729,0.37563112,0.35000607,0.018900216,0.28880247
ERR503210,0.11798552,0.3462651,0.37254477,0.036211878
ERR503058,0.1251576,0.05611059,0.7820319,0.0133960545
ERR504395,0.92122006,0.030902475,1.0102987e-05,0.031132668
ERR503439,0.3382677,0.35454026,0.05273205,0.22482303
ERR503676,0.20664549,0.144835,0.5032989,0.032072097
ERR503100,0.09922853,0.32464123,0.44543213,0.025198787
ERR503494,0.013392001,0.118154556,0.9084511,0.0027801394
ERR504516,0.45227975,0.25477895,0.12094274,0.11018184
ERR504371,0.115190744,0.09855181,0.71406406,0.013504416
ERR502999,0.46440977,0.39409584,0.0025828779,0.15227959
ERR503692,0.058680743,0.026973575,0.9337019,0.0024894178
ERR503585,0.11688334,0.59616715,0.13550517,0.12620357
ERR503767,0.0015005171,0.0003119707,0.99984807,1.6182661e-05
ERR503306,0.009695351,0.11817059,0.9309478,0.0016593039
ERR503470,0.29483578,0.32984418,0.08055735,0.2644713
ERR504142,0.036687583,0.03307262,0.93137777,0.0042238235
ERR503149,4.4703484e-07,2.5331974e-06,1.0,0.0
ERR503760,0.51450276,0.24415606,0.054746866,0.15715986
ERR503301,0.24001819,0.21319157,0.3890681,0.032890916
ERR503805,0.24245957,0.24845973,0.31681275,0.070174664
ERR504524,0.14032125,0.8078184,0.00459522,0.081715256
ERR503288,0.0034604073,0.0018019676,0.99898446,6.7681074e-05
ERR504145,0.007982224,0.14608136,0.9209392,0.0023067892
ERR503259,0.41386592,0.24067533,0.19864887,0.04387796
ERR503879,0.023894459,0.085122705,0.9158473,0.0016237795
ERR503553,0.42818958,0.13447729,0.3336619,0.03361568
ERR504558,0.007983595,0.026291609,0.9770136,0.0019406676
ERR503132,0.500368,0.21268666,0.15274659,0.06339064
ERR503695,0.22187063,0.54767215,0.018961728,0.23186827
ERR504139,0.6966633,0.117157996,0.14708686,0.03576693
ERR503644,0.36578423,0.35179427,0.07731429,0.14222369
ERR504589,0.7870039,0.1904856,0.0006933212,0.07656282
ERR503225,0.41940364,0.072265804,0.48967603,0.019338131
ERR504013,0.044849128,0.11181465,0.811859,0.010183215
ERR503521,0.1707874,0.12732601,0.5958835,0.017081618
ERR503140,0.20388904,0.101395726,0.610027,0.018927485
ERR503257,0.014520675,0.05927065,0.9356148,0.0046716332
ERR504378,0.14678726,0.5237108,0.17730337,0.08643392
ERR504587,0.32580516,0.3329683,0.095791996,0.1935989
ERR504220,0.29341108,0.27776217,0.26997417,0.008039862
ERR503715,0.107075304,0.09558979,0.55048585,0.16650414
ERR502997,0.018484145,0.041932315,0.9480722,0.00307706
ERR504130,0.14607838,0.017784387,0.90497017,0.003112018
ERR504580,0.00072166324,0.0004837811,0.9998367,1.8149614e-05
ERR503147,0.44826856,0.32084277,0.0018549562,0.23341995
ERR503250,0.8266909,0.14520228,0.0071726143,0.055324674
ERR503789,0.026148766,0.9112927,0.008476973,0.18167228
ERR504025,0.2416229,0.09025797,0.59616596,0.016292155
ERR503758,0.050779045,0.04162717,0.8954017,0.008438975
ERR503841,0.6722299,0.21630579,0.08340272,0.013422012
ERR503724,0.23303652,0.1727503,0.45745546,0.023744285
ERR502977,0.50771517,0.34865677,0.017880827,0.115724325
ERR504216,0.29630956,0.3134976,0.16548371,0.13210055
ERR503919,0.11288142,0.05720547,0.8142568,0.006881386
ERR503846,0.04606107,0.05104515,0.8989526,0.0050531924
ERR503393,0.76337093,0.16545838,0.0064453185,0.109297544
ERR503084,0.2483229,0.36101365,0.14639485,0.16535586
ERR504349,0.18844402,0.51349056,0.09481999,0.17558303
ERR504106,0.07411376,0.045428336,0.84628963,0.013863146
ERR503848,0.14081305,0.091275394,0.65361327,0.030695349
ERR504431,0.016760021,0.03138438,0.96531826,0.0014553368
ERR504050,0.03478396,0.006459236,0.96438277,0.008968115
ERR503899,0.09026489,0.0817188,0.7739533,0.011717379
ERR503214,0.49560526,0.44692826,8.3595514e-05,0.049484074
ERR504108,0.057133585,0.39580232,0.43784744,0.029084593
ERR503834,0.008988351,0.47555515,0.7616836,0.003007263
ERR503751,0.063325495,0.8013065,0.1362432,0.028962374
ERR503497,0.7536479,0.11276218,0.00227499,0.25917298
ERR504263,0.19974345,0.21630904,0.40116936,0.05477625
ERR503268,0.016336769,0.0060825646,0.9895774,0.0012571812
ERR503441,0.5310404,0.42297912,5.0514936e-05,0.042054027
ERR503020,0.11080977,0.037220955,0.8569447,0.0089178085
ERR503787,0.8776771,0.061998516,6.765127e-05,0.07298273
ERR503490,0.14346477,0.05463472,0.7923881,0.006891042
ERR504264,0.16232371,0.0019771457,0.9835837,0.00034162402
ERR503519,0.56860816,0.4372027,5.0485134e-05,0.028345674
ERR504436,0.09082878,0.2842704,0.53586286,0.014679223
ERR504340,0.2717447,0.31685174,0.16402292,0.16137785
ERR503213,0.1575763,0.27312237,0.35744357,0.067596465
ERR503565,0.65548724,0.34428966,2.5898218e-05,0.023374885
ERR503302,0.8512136,0.07728469,0.00012645125,0.097737014
ERR503763,0.12708735,0.19189891,0.5329609,0.025725603
ERR503474,0.3252837,0.098858476,0.50517184,0.016842097
ERR504146,0.0034434795,0.22711554,0.9384947,0.0011152625
ERR504251,0.52597153,0.13353837,0.23468122,0.059849113
ERR503408,0.88218415,0.0637801,0.02739039,0.09313503
ERR504403,0.4092323,0.22800407,0.22913885,0.018971741
ERR503581,0.17700398,0.14899197,0.5573018,0.018085688
ERR503226,0.3414498,0.22161418,0.28712595,0.046002567
ERR503647,0.46233243,0.17131376,0.24153763,0.057284564
ERR503379,0.17739376,0.4901172,0.13103437,0.14745966
ERR503718,0.8406602,0.095234096,0.0003426671,0.12934121
ERR503557,0.48831367,0.32104668,0.009757578,0.18257621
ERR503305,0.21373594,0.15885165,0.48503843,0.026901841
ERR503959,0.00010949373,0.00056937337,0.999957,3.1590462e-06
ERR504287,0.30991036,0.49010625,0.011776328,0.17991629
ERR503716,0.24104375,0.25992048,0.34901273,0.030235767
ERR503401,0.6524827,0.20892927,0.03642103,0.100491524
ERR503873,0.0003003478,0.020789593,0.99844027,6.207824e-05
ERR502994,0.707772,0.24898201,0.0008378327,0.0873107
ERR503138,0.015701473,0.0036964118,0.9957497,0.00013446808
ERR504133,0.33991584,0.7358455,0.023731798,0.0069387853
ERR503559,0.23885193,0.20860773,0.3823534,0.044263005
ERR504583,0.055020034,0.025619686,0.92858696,0.004930377
ERR503588,0.34234375,0.36428183,0.03230661,0.27106395
ERR504300,0.100984514,0.45826066,0.2978499,0.042124897
ERR504476,0.1357126,0.08440682,0.6750821,0.028813362
ERR504289,0.17428732,0.4265813,0.2081761,0.1030027
ERR503525,0.86500126,0.06197241,2.8371811e-05,0.051823586
ERR503282,0.14942804,0.056622356,0.7819618,0.007094413
ERR503986,0.34156996,0.730177,0.039620966,0.0056094825
ERR503632,0.05228129,0.046593428,0.90413946,0.004679829
ERR504307,0.34653425,0.3685339,0.023471892,0.2945944
ERR504010,0.30552197,0.30010265,0.22450006,0.045020312
ERR504148,0.9158538,0.047936857,0.00024104118,0.10646489
ERR503143,0.33977544,0.28732222,0.18300685,0.08735177
ERR503285,0.027118444,0.017944902,0.95620066,0.005030811
ERR503254,0.67695093,0.31762773,6.636977e-05,0.03434038
ERR503981,0.44368783,0.35247362,0.1037215,0.021905035
ERR503711,0.4168961,0.39174932,0.0013121068,0.18409279
ERR503067,0.9338821,0.04184103,0.013373524,0.09375727
ERR503406,0.008111417,0.09894109,0.9603668,0.00072708726
ERR503698,0.63848,0.12637734,0.14809558,0.09167522
ERR504555,0.2247344,0.36802018,0.2554447,0.033797592
ERR503228,0.5975872,0.19893429,0.10348731,0.076908946
ERR503990,9.88543e-05,0.21673298,0.99281776,0.00026685
ERR504188,0.4198845,0.20287693,0.23394153,0.0600048
ERR503183,0.17483571,0.1824443,0.42830688,0.09156281
ERR503624,0.3555795,0.20688567,0.27961433,0.05626142
ERR504159,0.32013014,0.12795478,0.44777656,0.024856508
ERR503941,0.44696432,0.2757532,0.10844475,0.109467894
ERR504538,0.26130283,0.20191753,0.31623125,0.11330497
ERR504001,0.17895398,0.28029937,0.3527274,0.04709485
ERR503658,0.15388623,0.29531097,0.27433527,0.15336478
ERR504125,0.4246059,0.2750634,0.16525942,0.025937468
ERR503689,0.050309807,0.2994128,0.5088568,0.039384246
ERR503076,0.010504663,0.0024380684,0.9865624,0.0053620934
ERR503865,0.0013308525,0.99814963,3.516674e-06,0.001867801
ERR503361,0.2699228,0.29958856,0.27011347,0.019267261
ERR504122,0.27422634,0.5106891,0.06875974,0.099134356
ERR503071,0.81028926,0.044377506,0.011107475,0.5428514
ERR503410,0.017376006,0.008364618,0.99084806,0.0003554225
ERR502985,0.60187143,0.20441759,0.0014943182,0.24617228
ERR503366,0.03164789,0.0027492344,0.99365234,0.00035730004
ERR504249,0.20672089,0.57743084,0.11277887,0.021821529
ERR503242,0.34080303,0.4399295,0.094196826,0.017491072
ERR503155,0.20121053,0.29021424,0.29008412,0.08297786
ERR503946,0.5150224,0.025569975,0.63412696,0.008510143
ERR504298,0.26705655,0.34317642,0.108632684,0.2410613
ERR503651,0.17975587,0.102353096,0.6205022,0.020502388
ERR503934,0.63975924,0.19751802,0.020270884,0.18777397
ERR504415,0.14364594,0.36711246,0.32907462,0.037075818
ERR503709,0.027696073,0.02680239,0.94614655,0.004733652
ERR504296,0.14205176,0.19479334,0.5141017,0.026302129
ERR503948,0.7378206,0.1949656,0.00052165985,0.10674149
ERR504469,0.1119858,0.019226521,0.92469984,0.0017867088
ERR504240,0.11380294,0.6852113,0.1355092,0.04776895
ERR504536,0.5778789,0.4174946,1.0102987e-05,0.014029145
ERR503004,0.43131047,0.49956068,0.004671067,0.07813224
ERR504318,0.5206039,0.10198355,0.29876143,0.047556102
ERR503656,0.34277648,0.24517,0.23042902,0.07897976
ERR504073,4.9114227e-05,0.16161707,0.8972408,0.0022900105
ERR503078,0.75373805,0.124293774,0.00066661835,0.20013672
ERR504412,0.49960333,0.10489726,0.33483106,0.026928842
ERR504275,0.31199288,0.4158239,0.09643635,0.10722977
ERR503481,2.0861626e-07,1.9967556e-06,0.99999994,0.0
ERR503450,0.4627656,0.4020213,0.06322563,0.043183863
ERR503822,0.13515761,0.60774827,0.12922981,0.098490834
ERR504209,0.27007705,0.5491187,0.00702098,0.18516934
ERR504097,0.38841432,0.17285156,0.30749834,0.005415261
ERR502968,0.18126711,0.15562278,0.51018476,0.033856362
ERR504351,0.08405459,0.05842203,0.80906904,0.015400946
ERR504427,0.10886106,0.2505972,0.4157862,0.08239192
ERR503205,0.03840962,0.20803195,0.7276934,0.0092127025
ERR504090,0.2580708,0.27378923,0.28228813,0.060191154
ERR503888,0.0006502867,0.005516261,0.9991526,4.8965216e-05
ERR504504,0.39184114,0.16055092,0.33627695,0.0019516647
ERR503279,0.14177349,0.051374972,0.8020569,0.006976694
ERR503740,0.21219161,0.46856502,0.1437411,0.10196382
ERR503825,0.42596325,0.5631179,2.7745962e-05,0.025510967
ERR503791,0.28562543,0.40343487,0.12922287,0.0987913
ERR503044,0.31399408,0.45849687,0.04020366,0.1488297
ERR503973,0.03226745,0.059737414,0.89027905,0.0075691044
ERR503160,0.29743195,0.64823985,4.068017e-05,0.031942487
ERR503974,0.004730642,0.0809665,0.9675021,0.001023531
ERR503270,0.01747027,0.21282423,0.8238764,0.0048506856
ERR504484,1.9669533e-06,1.1712313e-05,0.99999976,0.0
ERR504455,0.19661307,0.16302809,0.49701372,0.027382731
ERR503798,0.0081683695,0.14481348,0.92066956,0.0022840798
ERR504110,0.092096865,0.037464112,0.8829286,0.004146874
ERR503092,0.7106586,0.27835625,0.00035578012,0.033642262
ERR503354,0.00087982416,0.0004336238,0.9998532,1.5169382e-05
ERR502966,0.14633834,0.1405622,0.63442355,0.008392781
ERR503385,0.19175148,0.51267904,0.14175215,0.090581834
ERR503043,0.7451944,0.23374751,0.00033310056,0.06758258
